time_ms,th_qw,th_qx,th_qy,th_qz,th_ax_g,th_ay_g,th_az_g,th_gx_dps,th_gy_dps,th_gz_dps,sh_qw,sh_qx,sh_qy,sh_qz,sh_ax_g,sh_ay_g,sh_az_g,sh_gx_dps,sh_gy_dps,sh_gz_dps,knee_deg,force_raw,stance,stride_length_m,velocity_mps,cadence_spm,stance_time_s,swing_time_s
26207,0.994821,0.006749,-0.021977,-0.099006,-0.059082,0.046875,1.019775,0.412,-0.840,-0.160,0.192927,0.950170,0.239498,0.050970,-0.061523,0.315186,-0.932129,-0.344,-0.069,-0.397,-158.686,8,0,0.000,0.000,0.0,0.000,0.000
26217,0.994838,0.007272,-0.020943,-0.099026,-0.060303,0.049805,1.014404,0.748,-0.756,-0.015,0.192307,0.950296,0.239694,0.050019,-0.063721,0.310303,-0.938477,-0.595,-0.313,-0.191,-158.893,6,0,0.000,0.000,0.0,0.000,0.000
26227,0.994853,0.007760,-0.019877,-0.099055,-0.061523,0.048828,1.014160,0.496,-0.481,-0.115,0.191650,0.950429,0.239881,0.049118,-0.058594,0.312256,-0.933838,-0.435,0.130,-0.015,-158.755,8,0,0.000,0.000,0.0,0.000,0.000
26237,0.994867,0.008273,-0.018788,-0.099083,-0.060547,0.052734,1.016602,0.267,-0.031,-0.099,0.190996,0.950550,0.240107,0.048201,-0.060791,0.310303,-0.928467,-0.290,0.229,-0.427,-158.550,8,0,0.000,0.000,0.0,0.000,0.000
26247,0.994883,0.008745,-0.017607,-0.099100,-0.062012,0.045410,1.013672,0.649,0.679,0.000,0.190275,0.950686,0.240326,0.047269,-0.060547,0.311035,-0.937012,0.359,0.023,-0.382,-159.072,4,0,0.000,0.000,0.0,0.000,0.000
26257,0.994894,0.009298,-0.016419,-0.099143,-0.059082,0.052490,1.013916,0.565,1.145,-0.290,0.189563,0.950819,0.240549,0.046319,-0.060303,0.311523,-0.927490,0.519,0.084,-0.382,-158.470,20,0,0.000,0.000,0.0,0.000,0.000
26267,0.994907,0.009814,-0.015222,-0.099153,-0.058350,0.050537,1.013672,0.351,1.145,0.092,0.188826,0.950954,0.240774,0.045366,-0.062012,0.310303,-0.926758,0.878,0.206,-0.351,-158.634,16,0,0.000,0.000,0.0,0.000,0.000
26277,0.994917,0.010360,-0.014020,-0.099177,-0.060791,0.051270,1.010742,0.687,1.221,-0.084,0.188051,0.951103,0.240972,0.044407,-0.056885,0.312744,-0.929687,1.038,-0.183,-0.153,-158.503,17,0,0.000,0.000,0.0,0.000,0.000
26287,0.994925,0.010853,-0.012827,-0.099205,-0.058350,0.048096,1.010742,0.443,0.954,-0.115,0.187297,0.951245,0.241174,0.043440,-0.059082,0.310547,-0.932617,0.794,-0.328,-0.267,-158.859,16,0,0.000,0.000,0.0,0.000,0.000
26297,0.994928,0.011385,-0.011681,-0.099255,-0.061523,0.052002,1.013916,0.534,0.595,-0.374,0.186598,0.951372,0.241395,0.042444,-0.062500,0.314697,-0.932617,0.771,-0.145,-0.359,-158.418,21,0,0.000,0.000,0.0,0.000,0.000
26307,0.994931,0.011933,-0.010535,-0.099289,-0.065674,0.055176,1.014404,0.481,0.679,-0.191,0.185924,0.951498,0.241593,0.041423,-0.063965,0.313965,-0.930664,0.679,-0.382,-0.099,-158.245,8,0,0.000,0.000,0.0,0.000,0.000
26317,0.994935,0.012390,-0.009358,-0.099312,-0.062500,0.046631,1.012939,0.519,0.611,-0.069,0.185174,0.951627,0.241825,0.040457,-0.058105,0.312256,-0.933594,0.718,-0.290,-0.641,-158.871,18,0,0.000,0.000,0.0,0.000,0.000
