time_ms,th_qw,th_qx,th_qy,th_qz,th_ax_g,th_ay_g,th_az_g,th_gx_dps,th_gy_dps,th_gz_dps,sh_qw,sh_qx,sh_qy,sh_qz,sh_ax_g,sh_ay_g,sh_az_g,sh_gx_dps,sh_gy_dps,sh_gz_dps,knee_deg,force_raw,stance,stride_length_m,velocity_mps,cadence_spm,stance_time_s,swing_time_s
9251,0.821131,0.379001,0.401362,0.144951,-0.685303,0.523682,0.484375,-0.122,-1.496,4.740,0.896452,-0.157192,0.414310,0.003337,-0.968750,0.017578,0.217285,-4.893,-6.000,-0.542,42.608,0,0,0.000,0.000,0.0,0.000,0.000
9261,0.821465,0.378423,0.401301,0.144737,-0.683594,0.525146,0.490967,1.160,-1.947,4.885,0.896251,-0.157164,0.414750,0.003851,-0.969482,0.018555,0.210937,-4.176,-5.763,-0.573,41.900,16,0,0.000,0.000,0.0,0.000,0.000
9271,0.821787,0.377849,0.401244,0.144567,-0.683594,0.523437,0.492676,1.076,-1.664,5.298,0.896068,-0.157055,0.415184,0.004268,-0.970459,0.015869,0.209961,-2.802,-5.763,-1.153,42.412,16,0,0.000,0.000,0.0,0.000,0.000
9281,0.822104,0.377284,0.401185,0.144406,-0.681152,0.526123,0.493408,1.183,-1.580,5.389,0.895862,-0.156822,0.415713,0.004593,-0.970947,0.017090,0.214600,-1.176,-4.473,-1.382,42.285,3,0,0.000,0.000,0.0,0.000,0.000
9291,0.822413,0.376784,0.401098,0.144189,-0.677490,0.525146,0.491211,2.038,-2.168,5.298,0.895665,-0.156539,0.416240,0.004897,-0.970215,0.019043,0.217529,-0.603,-4.489,-1.420,41.909,18,0,0.000,0.000,0.0,0.000,0.000
9301,0.822734,0.376247,0.401020,0.143979,-0.680908,0.521729,0.499512,1.702,-1.916,4.992,0.895459,-0.156200,0.416807,0.005169,-0.970947,0.023193,0.216797,0.053,-3.947,-1.450,40.140,6,0,0.000,0.000,0.0,0.000,0.000
9311,0.823053,0.375733,0.400949,0.143692,-0.677246,0.527588,0.499756,2.328,-2.153,4.290,0.895240,-0.155931,0.417373,0.005453,-0.968750,0.016113,0.218506,-0.656,-3.947,-1.573,42.334,9,0,0.000,0.000,0.0,0.000,0.000
9321,0.823359,0.375236,0.400910,0.143346,-0.679199,0.525146,0.497070,2.817,-2.198,3.824,0.894985,-0.155745,0.417987,0.005757,-0.963379,0.013428,0.217285,-1.634,-3.321,-1.626,43.037,8,0,0.000,0.000,0.0,0.000,0.000
9331,0.823651,0.374716,0.400931,0.142975,-0.672363,0.526367,0.485840,2.779,-1.809,3.427,0.894717,-0.155668,0.418584,0.006102,-0.968018,0.013428,0.219238,-2.969,-3.489,-1.779,43.788,5,0,0.000,0.000,0.0,0.000,0.000
9341,0.823931,0.374164,0.401019,0.142558,-0.675781,0.529297,0.481445,2.748,-1.458,2.786,0.894419,-0.155662,0.419215,0.006492,-0.966309,0.022217,0.223877,-4.145,-2.992,-1.763,42.043,18,0,0.000,0.000,0.0,0.000,0.000
9351,0.824244,0.373520,0.401116,0.142164,-0.675293,0.528564,0.479980,1.626,-1.313,2.527,0.894116,-0.155703,0.419840,0.006928,-0.968262,0.018799,0.226807,-4.832,-3.107,-1.511,43.020,5,0,0.000,0.000,0.0,0.000,0.000
9361,0.824599,0.372753,0.401232,0.141793,-0.679932,0.530273,0.483154,0.214,-1.031,2.038,0.893800,-0.155746,0.420489,0.007404,-0.970215,0.017090,0.220947,-4.977,-2.908,-0.977,43.239,13,0,0.000,0.000,0.0,0.000,0.000
9371,0.824988,0.371857,0.401377,0.141471,-0.674561,0.530029,0.484619,-1.237,-0.359,1.595,0.893470,-0.155772,0.421171,0.007858,-0.966797,0.024902,0.219727,-4.832,-2.412,-1.191,41.097,18,0,0.000,0.000,0.0,0.000,0.000
9381,0.825399,0.370892,0.401538,0.141148,-0.675049,0.527344,0.487549,-1.916,-0.153,1.099,0.893122,-0.155781,0.421895,0.008307,-0.966797,0.020508,0.216064,-4.573,-1.916,-0.985,41.823,18,0,0.000,0.000,0.0,0.000,0.000
9391,0.825789,0.369944,0.401739,0.140779,-0.674805,0.526611,0.492432,-1.298,0.237,0.481,0.892784,-0.155763,0.422609,0.008756,-0.965820,0.024414,0.218506,-4.351,-2.023,-0.969,40.546,24,0,0.000,0.000,0.0,0.000,0.000
9401,0.826160,0.369027,0.401963,0.140375,-0.674805,0.527344,0.492676,-0.725,0.351,0.229,0.892451,-0.155666,0.423338,0.009184,-0.968262,0.025635,0.218506,-3.443,-1.855,-0.794,40.255,16,0,0.000,0.000,0.0,0.000,0.000
9411,0.826513,0.368126,0.402207,0.139962,-0.673584,0.528320,0.495850,-0.366,0.672,0.053,0.892114,-0.155505,0.424099,0.009539,-0.965576,0.025146,0.211426,-2.382,-1.420,-1.099,40.033,18,0,0.000,0.000,0.0,0.000,0.000
9421,0.826862,0.367270,0.402425,0.139524,-0.675293,0.532227,0.499512,0.198,0.328,0.076,0.891754,-0.155301,0.424923,0.009857,-0.966309,0.020996,0.210937,-1.733,-0.618,-1.099,41.132,17,0,0.000,0.000,0.0,0.000,0.000
9431,0.827192,0.366476,0.402639,0.139035,-0.674316,0.535156,0.497070,1.084,0.023,-0.023,0.891393,-0.155043,0.425765,0.010170,-0.964111,0.025879,0.219482,-1.290,-0.344,-1.015,40.388,17,0,0.000,0.000,0.0,0.000,0.000
9441,0.827515,0.365735,0.402828,0.138513,-0.675293,0.536377,0.487305,1.565,-0.710,0.351,0.891016,-0.154702,0.426671,0.010429,-0.966553,0.024414,0.214600,-0.145,0.443,-0.969,41.254,16,0,0.000,0.000,0.0,0.000,0.000
9451,0.827830,0.364992,0.403021,0.138028,-0.671387,0.537598,0.482178,1.382,-0.550,0.763,0.890616,-0.154324,0.427637,0.010701,-0.968994,0.028320,0.216553,0.076,1.183,-0.618,40.660,8,0,0.000,0.000,0.0,0.000,0.000
9461,0.828182,0.364197,0.403165,0.137595,-0.676025,0.528320,0.493408,0.542,-0.641,0.916,0.890217,-0.153896,0.428613,0.010995,-0.970703,0.025635,0.219482,0.496,1.237,-0.107,40.295,16,0,0.000,0.000,0.0,0.000,0.000
9471,0.828546,0.363340,0.403329,0.137188,-0.670166,0.528076,0.485840,-0.237,-0.405,0.885,0.889796,-0.153472,0.429629,0.011302,-0.969971,0.021484,0.216309,0.435,1.695,0.160,41.713,16,0,0.000,0.000,0.0,0.000,0.000
9481,0.828929,0.362442,0.403495,0.136767,-0.673584,0.516602,0.495850,-0.527,-0.252,0.313,0.889363,-0.153050,0.430667,0.011629,-0.968262,0.020264,0.207520,0.397,1.908,0.504,40.597,16,0,0.000,0.000,0.0,0.000,0.000
9491,0.829307,0.361439,0.403756,0.136358,-0.671631,0.516602,0.492187,-1.435,0.817,-0.382,0.888916,-0.152582,0.431746,0.011954,-0.971436,0.021973,0.219238,0.740,2.450,0.649,40.663,17,0,0.000,0.000,0.0,0.000,0.000
9501,0.829683,0.360387,0.404084,0.135877,-0.675781,0.516357,0.495850,-1.443,1.252,-1.573,0.888482,-0.152126,0.432787,0.012332,-0.968018,0.015137,0.216309,0.481,1.878,1.198,42.158,17,0,0.000,0.000,0.0,0.000,0.000
9511,0.830028,0.359349,0.404485,0.135329,-0.678955,0.517334,0.498047,-0.756,1.802,-2.397,0.888017,-0.151678,0.433888,0.012692,-0.968018,0.022461,0.214600,0.359,2.710,0.992,40.113,16,0,0.000,0.000,0.0,0.000,0.000
9521,0.830345,0.358366,0.404936,0.134641,-0.677490,0.520508,0.501465,0.687,1.901,-3.763,0.887563,-0.151210,0.434969,0.013036,-0.968018,0.018555,0.219238,0.672,2.481,0.901,41.230,17,0,0.000,0.000,0.0,0.000,0.000
9531,0.830615,0.357443,0.405457,0.133858,-0.676270,0.527100,0.488770,1.840,1.947,-4.244,0.887105,-0.150655,0.436084,0.013331,-0.967773,0.022705,0.228027,1.656,3.015,0.748,41.475,17,0,0.000,0.000,0.0,0.000,0.000
9541,0.830916,0.356428,0.405982,0.133100,-0.685791,0.526123,0.480713,0.450,1.618,-4.069,0.886644,-0.150067,0.437215,0.013601,-0.968018,0.025146,0.214844,2.214,3.176,0.786,40.907,16,0,0.000,0.000,0.0,0.000,0.000
9551,0.831245,0.355327,0.406515,0.132363,-0.681885,0.525635,0.474365,-0.641,1.672,-4.221,0.886189,-0.149376,0.438367,0.013809,-0.968994,0.032959,0.216309,3.466,3.511,0.588,39.271,17,0,0.000,0.000,0.0,0.000,0.000
9561,0.831617,0.354255,0.406930,0.131624,-0.671387,0.528320,0.486572,-0.282,1.031,-4.336,0.885708,-0.148630,0.439584,0.014024,-0.969238,0.026123,0.224609,3.969,4.298,1.069,40.722,16,0,0.000,0.000,0.0,0.000,0.000
9571,0.831971,0.353191,0.407371,0.130880,-0.677246,0.526855,0.485352,-0.176,1.153,-4.244,0.885218,-0.147881,0.440816,0.014209,-0.968994,0.020020,0.223145,4.237,4.489,0.939,42.221,20,0,0.000,0.000,0.0,0.000,0.000
9581,0.832300,0.352202,0.407796,0.130125,-0.681152,0.526611,0.489258,0.702,1.023,-3.954,0.884693,-0.147107,0.442121,0.014393,-0.970703,0.023926,0.217041,4.466,5.412,1.191,40.815,16,0,0.000,0.000,0.0,0.000,0.000
9591,0.832656,0.351231,0.408129,0.129431,-0.675781,0.521973,0.508789,0.718,1.038,-3.740,0.884163,-0.146287,0.443444,0.014569,-0.964844,0.020264,0.218506,4.985,5.618,1.405,40.434,17,0,0.000,0.000,0.0,0.000,0.000
9601,0.833006,0.350252,0.408496,0.128668,-0.682617,0.519043,0.501465,0.855,0.740,-4.153,0.883624,-0.145466,0.444781,0.014778,-0.969971,0.017578,0.223633,4.824,5.763,1.802,41.492,15,0,0.000,0.000,0.0,0.000,0.000
9611,0.833296,0.349385,0.408912,0.127821,-0.677979,0.519287,0.494141,2.595,0.885,-4.427,0.883097,-0.144632,0.446090,0.014967,-0.971924,0.017822,0.218750,5.115,5.427,1.664,41.764,18,0,0.000,0.000,0.0,0.000,0.000
9621,0.833595,0.348510,0.409303,0.127010,-0.674316,0.522217,0.498047,2.397,1.031,-4.282,0.882568,-0.143750,0.447417,0.015114,-0.969727,0.020996,0.222412,5.740,5.733,1.427,40.964,16,0,0.000,0.000,0.0,0.000,0.000
9631,0.833856,0.347611,0.409795,0.126167,-0.676025,0.527100,0.489746,2.489,1.779,-4.725,0.882067,-0.142836,0.448691,0.015243,-0.971436,0.020264,0.228271,6.153,5.107,1.282,42.031,20,0,0.000,0.000,0.0,0.000,0.000
9641,0.834153,0.346607,0.410295,0.125344,-0.681396,0.527100,0.483398,1.069,1.573,-4.771,0.881566,-0.141915,0.449961,0.015350,-0.968750,0.020508,0.228516,6.336,5.122,1.099,42.348,16,0,0.000,0.000,0.0,0.000,0.000
9651,0.834463,0.345541,0.410803,0.124553,-0.685547,0.529785,0.485840,0.298,1.802,-4.802,0.881079,-0.140996,0.451199,0.015447,-0.969238,0.019531,0.222412,6.450,4.695,1.031,42.459,17,0,0.000,0.000,0.0,0.000,0.000
9661,0.834777,0.344492,0.411289,0.123746,-0.680176,0.523193,0.481201,0.481,1.496,-4.779,0.880586,-0.140155,0.452419,0.015567,-0.968262,0.022949,0.218750,5.519,4.542,0.809,41.405,6,0,0.000,0.000,0.0,0.000,0.000
9671,0.835098,0.343444,0.411736,0.123011,-0.681396,0.524658,0.488770,0.214,1.672,-4.206,0.880097,-0.139405,0.453594,0.015747,-0.967529,0.021240,0.218262,4.313,3.962,0.924,41.470,16,0,0.000,0.000,0.0,0.000,0.000
9681,0.835445,0.342310,0.412175,0.122340,-0.688721,0.524658,0.485352,-1.183,1.519,-3.702,0.879605,-0.138696,0.454758,0.015959,-0.963379,0.020752,0.216064,3.756,3.824,1.046,41.743,16,0,0.000,0.000,0.0,0.000,0.000
