time_ms,th_qw,th_qx,th_qy,th_qz,th_ax_g,th_ay_g,th_az_g,th_gx_dps,th_gy_dps,th_gz_dps,sh_qw,sh_qx,sh_qy,sh_qz,sh_ax_g,sh_ay_g,sh_az_g,sh_gx_dps,sh_gy_dps,sh_gz_dps,knee_deg,force_raw,stance,stride_length_m,velocity_mps,cadence_spm,stance_time_s,swing_time_s
573614,-0.609854,-0.435725,0.401757,-0.526130,0.972656,0.114502,0.301514,23.863,4.435,3.679,-0.317106,-0.678605,-0.225657,0.622911,-0.978027,0.153076,-0.032227,-16.580,-6.145,-4.061,-81.094,16,1,0.000,0.000,0.0,0.000,0.000
573624,-0.609428,-0.437164,0.399753,-0.526956,0.963135,0.117432,0.303955,24.519,4.107,4.244,-0.317724,-0.678277,-0.226866,0.622513,-0.977051,0.146973,-0.031738,-17.145,-6.076,-3.824,-81.062,17,1,0.000,0.000,0.0,0.000,0.000
573634,-0.608448,-0.438950,0.398399,-0.527629,0.966797,0.117432,0.301025,25.107,4.710,4.252,-0.318516,-0.678014,-0.227877,0.622026,-0.972900,0.146973,-0.025146,-16.947,-5.878,-4.107,-78.398,24,1,0.000,0.000,0.0,0.000,0.000
573644,-0.606878,-0.439916,0.397941,-0.528976,0.968018,0.107178,0.294189,25.061,5.160,4.267,-0.319352,-0.677757,-0.228777,0.621547,-0.971924,0.150146,-0.032227,-16.397,-6.206,-4.122,-82.096,18,1,0.000,0.000,0.0,0.000,0.000
573654,-0.605309,-0.440460,0.397527,-0.530630,0.967285,0.107178,0.299316,25.046,5.015,4.321,-0.319891,-0.677465,-0.229983,0.621143,-0.975098,0.145996,-0.031006,-16.374,-5.557,-4.252,-82.289,17,1,0.000,0.000,0.0,0.000,0.000
573664,-0.604029,-0.440573,0.396786,-0.532546,0.968018,0.098877,0.305664,24.641,5.214,4.557,-0.321077,-0.677223,-0.230548,0.620585,-0.975830,0.155029,-0.030273,-16.420,-5.496,-3.992,-83.124,21,1,0.000,0.000,0.0,0.000,0.000
573674,-0.602466,-0.441118,0.396392,-0.534157,0.970703,0.095947,0.297363,24.573,5.153,4.389,-0.322090,-0.676996,-0.231226,0.620055,-0.972412,0.159180,-0.037354,-15.985,-5.855,-4.137,-85.323,25,1,0.000,0.000,0.0,0.000,0.000
573684,-0.600923,-0.441591,0.395999,-0.535793,0.967285,0.099121,0.298828,24.305,4.992,4.298,-0.323340,-0.676691,-0.231725,0.619551,-0.973877,0.153809,-0.027344,-16.427,-6.122,-4.275,-81.730,17,1,0.000,0.000,0.0,0.000,0.000
573694,-0.599773,-0.441625,0.395180,-0.537655,0.974121,0.103271,0.306396,23.611,5.282,4.061,-0.324251,-0.676433,-0.232562,0.619043,-0.973145,0.156250,-0.036377,-16.557,-6.130,-4.168,-84.479,16,1,0.000,0.000,0.0,0.000,0.000
573704,-0.598523,-0.443120,0.394261,-0.538491,0.977783,0.110596,0.294189,24.351,5.389,4.053,-0.324983,-0.676137,-0.233581,0.618599,-0.972656,0.150146,-0.030273,-16.595,-6.321,-4.168,-80.797,20,1,0.000,0.000,0.0,0.000,0.000
573714,-0.597285,-0.444665,0.393280,-0.539309,0.969727,0.109619,0.298096,24.649,5.275,4.321,-0.325469,-0.675746,-0.234864,0.618285,-0.979492,0.147705,-0.029053,-16.664,-6.344,-4.053,-80.938,17,1,0.000,0.000,0.0,0.000,0.000
573724,-0.595922,-0.446121,0.392412,-0.540246,0.968506,0.109375,0.296631,25.244,5.427,4.382,-0.325822,-0.675292,-0.236233,0.618073,-0.976562,0.144287,-0.029785,-16.183,-6.458,-3.855,-81.424,17,1,0.000,0.000,0.0,0.000,0.000
573734,-0.594413,-0.446433,0.391909,-0.542013,0.965820,0.099121,0.297852,24.802,5.145,4.344,-0.326486,-0.674978,-0.237281,0.617664,-0.972412,0.145996,-0.026855,-16.267,-6.542,-3.817,-82.016,21,1,0.000,0.000,0.0,0.000,0.000
573744,-0.592812,-0.447097,0.391475,-0.543531,0.969971,0.105469,0.299072,25.038,5.099,4.008,-0.327207,-0.674708,-0.238231,0.617212,-0.975342,0.149414,-0.037598,-15.916,-6.313,-3.832,-84.699,21,1,0.000,0.000,0.0,0.000,0.000
573754,-0.591413,-0.448366,0.390751,-0.544529,0.968262,0.104492,0.290283,24.397,5.672,3.885,-0.328087,-0.674447,-0.239068,0.616707,-0.977783,0.154053,-0.039551,-16.328,-6.305,-3.794,-84.602,25,1,0.000,0.000,0.0,0.000,0.000
